こんにちは / Konnichiwa|Hello|general greeting
おはよう / Ohayou|Good morning.|casual morning greeting
おはようございます / Ohayou gozaimasu|Good morning. (formal)|polite morning greeting
こんばんは / Konbanwa|Good evening.|greeting
じゃあまた / Jaa mata|See you later!|casual farewell
さようなら / Sayounara|Goodbye|farewell
ありがとうございます / Arigatou gozaimasu|Thank you.|polite expression of gratitude
ありがとう / Arigatou|Thank you!|casual expression of gratitude
いいえ / Iie|No; no problem; you're welcome.|response/negation
どうぞ / Douzo|Here you go; please go ahead.|offering/invitation
すみません / Sumimasen|Sorry; excuse me.|apology or getting someone's attention
そうです / Sou desu|That's right.|affirmation/response
はい / Hai|Yes.|affirmation
しつれいします。/ Shitsurei shimasu.|Goodbye; sorry. (formal)|polite farewell
おみずはどうですか。/ Omizu wa dou desu ka.|How about some water?|phrase
おちゃはどうですか。/ Ocha wa dou desu ka.|How about some tea?|phrase
のみものはどうですか。/ Nomimono wa dou desu ka.|How about some drinks?|phrase
どうも / Doumo|Thank you (the polite and short version)|expression
いいですね。/ Ii desu ne.|That's good, isn't it? / Sounds good.|phrase
あ、いいですね。/ A, ii desu ne.|Oh, that's good, isn't it? / Oh, sounds good.|phrase
すみません、ちょっと。/ Sumimasen, chotto.|Sorry, it is a little (inconvenient for me).|phrase
いりません。/ Irimasen.|I don't need it.|expression
すみません、いりません。/ Sumimasen, irimasen.|Sorry, I don't need it.|phrase
